quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q0,"But
I thought he was a boy?",['But\nI thought he was a boy?'],"[[750, 777]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[['he']],"[[[764, 766]]]",[[['Winnie-the-pooh']]]
Q1,"So did I,","['So did I,']","[[781, 790]]",Christopher Robin - External,['_narr'],Explicit,said Christopher Robin,[[]],[[]],[[]]
Q2,Then you can't call him Winnie?,"[""Then you can't call him Winnie?""]","[[818, 849]]",Winnie-the-pooh,['Christopher Robin - External'],Implicit,,"[['you', 'him', 'Winnie']]","[[[823, 826], [838, 841], [842, 848]]]","[[['Christopher Robin - External'], ['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q3,I don't.,"[""I don't.""]","[[853, 861]]",Christopher Robin - External,['_narr'],Implicit,,[[]],[[]],[[]]
Q4,But you said----,['But you said----'],"[[865, 881]]",Winnie-the-pooh,['Christopher Robin - External'],Implicit,,[['you']],"[[[869, 872]]]",[[['Christopher Robin - External']]]
Q5,He's Winnie-ther-Pooh. Don't you know what '_ther_' means?,"[""He's Winnie-ther-Pooh. Don't you know what '_ther_' means?""]","[[885, 943]]",Christopher Robin - External,['_narr'],Implicit,,"[['He', 'you']]","[[[885, 887], [914, 917]]]","[[['Winnie-the-pooh'], ['_narr']]]"
Q6,"Ah, yes, now I do,","['Ah, yes, now I do,']","[[947, 965]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[[]],[[]],[[]]
Q7,What about a story?,['What about a story?'],"[[1242, 1261]]",Christopher Robin - External,['_narr'],Explicit,said Christopher Robin,[[]],[[]],[[]]
Q8,_What_ about a story?,['_What_ about a story?'],"[[1289, 1310]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[[]],[[]],[[]]
Q9,Could you very sweetly tell Winnie-the-Pooh one?,['Could you very sweetly tell Winnie-the-Pooh one?'],"[[1322, 1370]]",Christopher Robin - External,['_narr'],Implicit,,"[['you', 'Winnie-the-Pooh']]","[[[1328, 1331], [1350, 1365]]]","[[['_narr'], ['Winnie-the-pooh']]]"
Q10,"I suppose I could, What sort of stories does he like?","['I suppose I could,', 'What sort of stories does he like?']","[[1374, 1392], [1403, 1437]]",_narr,['Christopher Robin - External'],Anaphoric,I said,"[[], ['he']]","[[], [[1429, 1431]]]","[[], [['Winnie-the-pooh']]]"
Q11,About himself. Because he's _that_ sort of Bear.,"[""About himself. Because he's _that_ sort of Bear.""]","[[1441, 1489]]",Christopher Robin - External,['_narr'],Implicit,,"[['himself', 'he']]","[[[1447, 1454], [1464, 1466]]]","[[['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q12,"Oh, I see.","['Oh, I see.']","[[1493, 1503]]",_narr,['Christopher Robin - External'],Implicit,,[[]],[[]],[[]]
Q13,So could you very sweetly?,['So could you very sweetly?'],"[[1507, 1533]]",Christopher Robin - External,['_narr'],Implicit,,[['you']],"[[[1516, 1519]]]",[[['_narr']]]
Q14,"I'll try,","[""I'll try,""]","[[1537, 1546]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[[]],[[]],[[]]
Q15,What does 'under the name' mean?,"[""What does 'under the name' mean?""]","[[1769, 1801]]",Christopher Robin - External,['_narr'],Explicit,asked Christopher Robin,[[]],[[]],[[]]
Q16,"_It means he had the name over the door in gold letters, and lived
under it._","['_It means he had the name over the door in gold letters, and lived\nunder it._']","[[1831, 1908]]",_narr,['Christopher Robin - External'],Implicit,,[['he']],"[[[1841, 1843]]]",[[['Winnie-the-pooh']]]
Q17,"Winnie-the-Pooh wasn't quite sure,","[""Winnie-the-Pooh wasn't quite sure,""]","[[1913, 1947]]",Christopher Robin - External,['_narr'],Explicit,said Christopher Robin,[['Winnie-the-Pooh']],"[[[1913, 1928]]]",[[['Winnie-the-pooh']]]
Q18,"Now I am,","['Now I am,']","[[1977, 1986]]",Christopher Robin - External,['_narr'],Anaphoric,said a growly voice,[['I']],"[[[1981, 1982]]]",[[['Winnie-the-pooh']]]
Q19,"Then I will go on,","['Then I will go on,']","[[2013, 2031]]",_narr,['Christopher Robin - External'],Anaphoric,said I,[['I ']],"[[[2018, 2020]]]",[[['_narr']]]
Q20,"That buzzing-noise means something.
You don't get a buzzing-noise like that, just buzzing and buzzing,
without its meaning something. If there's a buzzing-noise, somebody's
making a buzzing-noise, and the only reason for making a buzzing-noise
that _I_ know of is because you're a bee.","[""That buzzing-noise means something.\nYou don't get a buzzing-noise like that, just buzzing and buzzing,\nwithout its meaning something. If there's a buzzing-noise, somebody's\nmaking a buzzing-noise, and the only reason for making a buzzing-noise\nthat _I_ know of is because you're a bee.""]","[[2385, 2670]]",Winnie-the-pooh,['Winnie-the-pooh'],Anaphoric,he said to himself,[[]],[[]],[[]]
Q21,"And the only reason for
being a bee that I know of is making honey.",['And the only reason for\nbeing a bee that I know of is making honey.'],"[[2719, 2786]]",Winnie-the-pooh,[],Anaphoric,he thought another long time and said,[[]],[[]],[[]]
Q22,"And the only reason for making honey is
so as _I_ can eat it.",['And the only reason for making honey is\nso as _I_ can eat it.'],"[[2820, 2881]]",Winnie-the-pooh,[],Anaphoric,he got up and said,[[]],[[]],[[]]
Q23,"Isn't it funny
    How a bear likes honey?
    Buzz! Buzz! Buzz!
    I wonder why he does?","[""Isn't it funny\n    How a bear likes honey?\n    Buzz! Buzz! Buzz!\n    I wonder why he does?""]","[[3029, 3123]]",Winnie-the-pooh,[],Anaphoric,he sang a little song to himself It went like this,[[]],[[]],[[]]
Q24,"It's a very funny thought that, if Bears were Bees,
    They'd build their nests at the _bottom_ of trees.
    And that being so (if the Bees were Bears),
    We shouldn't have to climb up all these stairs.","[""It's a very funny thought that, if Bears were Bees,\n    They'd build their nests at the _bottom_ of trees.\n    And that being so (if the Bees were Bears),\n    We shouldn't have to climb up all these stairs.""]","[[3266, 3475]]",Winnie-the-pooh,[],Implicit,,[[]],[[]],[[]]
